eq,chi,obj
H(8) + S(952) = S(835),"AMChI=1/C5H8O2/c6-4-2-1(8)5(7)3-4/h1,5,7H,2-3H2/k8-1/r1","atoms:
  0: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 0.1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  2-5: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-11: {order: 1, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  4-13: {order: 1, stereo_parity: null}
  5-7: {order: 1, stereo_parity: null}
  6-14: {order: 1, stereo_parity: null}
reactants keys:
- [0]
- [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [1, 2, 3, 4, 5, 6, 7, 0, 8, 9, 10, 11, 12, 13, 14]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
H(8) + S(953) = S(835),"AMChI=1/C5H8O2/c6-4-1(8)2-5(7)3-4/h1,5,7H,2-3H2/k8-1/r1","atoms:
  0: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 0.1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  2-5: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-11: {order: 1, stereo_parity: null}
  3-12: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  5-7: {order: 1, stereo_parity: null}
  5-13: {order: 1, stereo_parity: null}
  7-14: {order: 1, stereo_parity: null}
reactants keys:
- [0]
- [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [2, 1, 3, 5, 4, 7, 6, 9, 10, 0, 8, 11, 12, 13, 14]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
H(8) + S(956) = S(1295),"AMChI=1/C5H8O2/c6-4-3-5(7)2-1-8/h2-4,6-7H,1H2/k8-1/r1","atoms:
  0: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 0.1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  2-5: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-11: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  4-12: {order: 1, stereo_parity: null}
  5-7: {order: 1, stereo_parity: null}
  6-13: {order: 1, stereo_parity: null}
  7-14: {order: 1, stereo_parity: null}
reactants keys:
- [0]
- [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [1, 2, 3, 4, 5, 6, 7, 0, 8, 9, 10, 11, 12, 13, 14]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
H(8) + S(956) = S(1404),"AMChI=1/C5H8O2/c1-2-5(7,8)3-4-6/h2-4,6-7H,1H2/k8-5/r1","atoms:
  0: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-5: {order: 0.1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  2-5: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-11: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  4-12: {order: 1, stereo_parity: null}
  5-7: {order: 1, stereo_parity: null}
  6-13: {order: 1, stereo_parity: null}
  7-14: {order: 1, stereo_parity: null}
reactants keys:
- [0]
- [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 13, 14]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
H(8) + S(956) = S(2764),"AMChI=1/C5H8O2/c1-2-5(7)3-4(6)8/h2-4,6-7H,1H2/k8-4/r1","atoms:
  0: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-4: {order: 0.1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  1-9: {order: 1, stereo_parity: null}
  2-5: {order: 1, stereo_parity: null}
  2-10: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-11: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  4-12: {order: 1, stereo_parity: null}
  5-7: {order: 1, stereo_parity: null}
  6-13: {order: 1, stereo_parity: null}
  7-14: {order: 1, stereo_parity: null}
reactants keys:
- [0]
- [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 12, 13, 14]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
H(8) + S(962) = S(1106),"AMChI=1/C5H8O2/c6-4(8)1-2-5(7)3-4/h1-2,5-7H,3H2/k8-4/r1","atoms:
  0: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-5: {order: 0.1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  1-8: {order: 1, stereo_parity: null}
  2-5: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-10: {order: 1, stereo_parity: null}
  3-11: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  4-12: {order: 1, stereo_parity: null}
  5-7: {order: 1, stereo_parity: null}
  6-13: {order: 1, stereo_parity: null}
  7-14: {order: 1, stereo_parity: null}
reactants keys:
- [0]
- [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0, 13, 14]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
H(8) + S(982) = S(1629),"AMChI=1/C3H6O2/c1-3(5)2-4-6/h5H,1-2H2/k6-4/r1","atoms:
  0: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-4: {order: 0.1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-6: {order: 1, stereo_parity: null}
  1-7: {order: 1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  5-10: {order: 1, stereo_parity: null}
reactants keys:
- [0]
- [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
products keys:
- [1, 2, 3, 4, 5, 6, 7, 9, 8, 0, 10]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
HO(21) + C#CC(253) = C3H5O(275),"AMChI=1/C3H5O/c2-3-1-4/h1,4H,2H3/k4-1/r1","atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 0.1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-5: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-6: {order: 1, stereo_parity: null}
  3-7: {order: 1, stereo_parity: null}
  3-8: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8]
products keys:
- [3, 4, 2, 0, 6, 7, 8, 5, 1]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
HO(21) + C#CC(253) = C3H5O(285),"AMChI=1/C3H5O/c1-3(2)4/h1,4H,2H3/k4-3/r1","atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-4: {order: 0.1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-5: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-6: {order: 1, stereo_parity: null}
  3-7: {order: 1, stereo_parity: null}
  3-8: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8]
products keys:
- [2, 3, 4, 0, 5, 6, 7, 8, 1]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
HO(21) + C#CCCC(47) = C5H9O(119),"AMChI=1/C5H9O/c1-3(6)5-4-2/h1,6H,4-5H2,2H3/k6-3/r1","atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-4: {order: 0.1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-7: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-8: {order: 1, stereo_parity: null}
  3-9: {order: 1, stereo_parity: null}
  3-10: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-11: {order: 1, stereo_parity: null}
  5-12: {order: 1, stereo_parity: null}
  6-13: {order: 1, stereo_parity: null}
  6-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [3, 2, 5, 6, 4, 0, 8, 9, 10, 7, 11, 12, 13, 14, 1]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
HO(21) + C#CCCC(47) = C5H9O(120),"AMChI=1/C5H9O/c2-4-5-3-1-6/h1,6H,4-5H2,2H3/k6-1/r1","atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 0.1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-7: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-8: {order: 1, stereo_parity: null}
  3-9: {order: 1, stereo_parity: null}
  3-10: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-11: {order: 1, stereo_parity: null}
  5-12: {order: 1, stereo_parity: null}
  6-13: {order: 1, stereo_parity: null}
  6-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [3, 5, 6, 4, 2, 0, 8, 9, 10, 11, 12, 13, 14, 7, 1]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
HO(21) + C#CCO(255) = S(277),"AMChI=1/C3H5O2/c4-1-2-3-5/h1,4-5H,3H2/k4-1/r1","atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-6: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-7: {order: 1, stereo_parity: null}
  4-8: {order: 1, stereo_parity: null}
  5-9: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9]
products keys:
- [3, 2, 4, 0, 5, 6, 7, 8, 1, 9]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
HO(21) + C#CCO(255) = S(461),"AMChI=1/C3H5O2/c1-2(4)3-5/h1,4-5H,3H2/k4-2/r1","atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-3: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-6: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-7: {order: 1, stereo_parity: null}
  4-8: {order: 1, stereo_parity: null}
  5-9: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9]
products keys:
- [2, 4, 3, 5, 0, 6, 7, 8, 9, 1]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
HO(21) + C2H2O(339) = S(1017),"AMChI=1/C2H3O2/c1-2(3)4/h3H,1H2/k3-2/r1","atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-3: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-5: {order: 1, stereo_parity: null}
  2-6: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6]
products keys:
- [2, 3, 0, 4, 5, 6, 1]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
HO(21) + C2H2O(339) = S(1017),"AMChI=1/C2H3O2/c1-2-3-5-4-2/h1H2/k3-2,5-4/f5-3/r1","atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-4: {order: 1, stereo_parity: null}
  0-5: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-3: {order: 0.1, stereo_parity: null}
  2-6: {order: 0.1, stereo_parity: null}
  3-6: {order: 0.9, stereo_parity: null}
reactants keys:
- [3, 6]
- [0, 1, 2, 4, 5]
products keys:
- [0, 1, 2, 3, 4, 5, 6]
reaction class: insertion
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
HO(21) + C2H3(194) = C2H4O(574),"AMChI=1/C2H4O/c2-1-3/h1,3H,2H2/k3-1/r1","atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-6: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6]
products keys:
- [3, 2, 0, 5, 6, 4, 1]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
"
