eq,rate
C5H7O(30) = C5H7O(13),"SimpleRate(k=ArrheniusFunction(A=0.234039, b=3.387, E=15.186, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(35) = C5H7O(13),"SimpleRate(k=ArrheniusFunction(A=37100.0, b=2.23, E=10.59, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(31) = C5H7O(13),"SimpleRate(k=ArrheniusFunction(A=0.234039, b=3.387, E=8.793, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(31) = C5H7O(11),"SimpleRate(k=ArrheniusFunction(A=7.61734e-06, b=4.409, E=0.9, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(30) = C5H7O(135),"SimpleRate(k=ArrheniusFunction(A=1.06161e+19, b=-1.866, E=9.028, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(76) = C5H7O(15),"SimpleRate(k=ArrheniusFunction(A=105000000.0, b=1.192, E=33.416, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(31) = C5H7O(76),"SimpleRate(k=ArrheniusFunction(A=74200.0, b=2.23, E=10.59, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(38) = C5H7O(11),"SimpleRate(k=ArrheniusFunction(A=2561590.0, b=1.466, E=25.081, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(38) = C5H7O(12),"SimpleRate(k=ArrheniusFunction(A=3365390000.0, b=0.841, E=33.626, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(30) = C5H8O(143),"SimpleRate(k=ArrheniusFunction(A=91749900000000.0, b=0.115, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(11) = C5H8O(63),"SimpleRate(k=ArrheniusFunction(A=15764300000000.0, b=-0.222, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(13) = C5H8O(62),"SimpleRate(k=ArrheniusFunction(A=2612150000000.0, b=0.326, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(35) = C5H8O(62),"SimpleRate(k=ArrheniusFunction(A=15764300000000.0, b=-0.222, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(5) = C5H8O(61),"SimpleRate(k=ArrheniusFunction(A=1953380000000.0, b=0.347, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(5) = C5H8O(60),"SimpleRate(k=ArrheniusFunction(A=2612150000000.0, b=0.326, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(18) = HO2(45) + C5H6O(14),"SimpleRate(k=ArrheniusFunction(A=6600000000.0, b=1.01, E=29.6, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(17) = HO2(45) + C5H6O(10),"SimpleRate(k=ArrheniusFunction(A=64800000000.0, b=0.57, E=29.9, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(17) = HO2(45) + C5H6O(14),"SimpleRate(k=ArrheniusFunction(A=3300000000.0, b=1.01, E=29.6, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(16) = HO2(45) + C5H6O(10),"SimpleRate(k=ArrheniusFunction(A=1622000000000000.0, b=-0.78, E=30.4, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + H(9) = HO2(45),"SimpleRate(k=ArrheniusFunction(A=87900000000.0, b=1.0, E=0.45, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(28) = HO2(45) + C5H6O(25),"SimpleRate(k=ArrheniusFunction(A=80040560000.0, b=0.563, E=29.8, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(13) = C5H7O(34),"SimpleRate(k=ArrheniusFunction(A=657459.0, b=1.872, E=24.518, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(35) = C5H7O(34),"SimpleRate(k=ArrheniusFunction(A=190540000000.0, b=0.853, E=47.848, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(34) = C5H8O(62),"SimpleRate(k=ArrheniusFunction(A=15764300000000.0, b=-0.222, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(26) = C5H7O(5),"SimpleRate(k=ArrheniusFunction(A=4638464000.0, b=0.824, E=26.37, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(26) = C5H7O(5),"SimpleRate(k=ArrheniusFunction(A=4638464000.0, b=0.824, E=26.37, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H6O(25) = C5H7O(26),"SimpleRate(k=ArrheniusFunction(A=616500000.0, b=1.533, E=1.239, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(26) = C5H8O(61),"SimpleRate(k=ArrheniusFunction(A=15764300000000.0, b=-0.222, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(26) = C5H7O(5),"SimpleRate(k=ArrheniusFunction(A=4638464000.0, b=0.824, E=26.37, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(26) = C5H7O(5),"SimpleRate(k=ArrheniusFunction(A=16098450000.0, b=0.8, E=32.5, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(18) = C5H7O3(49),"SimpleRate(k=ArrheniusFunction(A=234000000000.0, b=0.43, E=15.4, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(96) = C5H7O(12),"SimpleRate(k=ArrheniusFunction(A=6730780000.0, b=0.841, E=13.416, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(24) = C5H7O(5),"SimpleRate(k=ArrheniusFunction(A=200815.0, b=1.582, E=8.837, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(19) = C5H7O(5),"SimpleRate(k=ArrheniusFunction(A=0.234039, b=3.387, E=2.805, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(19) = C5H7O(5),"SimpleRate(k=ArrheniusFunction(A=7713.65, b=2.167, E=6.89, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(13) = C5H7O(32),"SimpleRate(k=ArrheniusFunction(A=9510970.0, b=1.685, E=31.033, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(35) = C5H7O(32),"SimpleRate(k=ArrheniusFunction(A=3320000000.0, b=0.99, E=33.8, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(32) = C5H8O(62),"SimpleRate(k=ArrheniusFunction(A=1953380000000.0, b=0.347, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(32) = C5H7O(34),"SimpleRate(k=ArrheniusFunction(A=2810314000.0, b=0.886, E=25.359, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(282) = C5H7O3(49),"SimpleRate(k=ArrheniusFunction(A=53821900000000.0, b=-0.337, E=40.857, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(17) = C5H7O3(53),"SimpleRate(k=ArrheniusFunction(A=117000000000.0, b=0.43, E=15.4, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO2(45) + C5H6O(25) = S(232),"SimpleRate(k=ArrheniusFunction(A=44.9939, b=3.11, E=7.233, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(282) = S(232),"SimpleRate(k=ArrheniusFunction(A=734000.0, b=2.24, E=34.5, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(232) = C5H7O3(53),"SimpleRate(k=ArrheniusFunction(A=53821900000000.0, b=-0.337, E=41.005, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(43) = C5H7O(11),"SimpleRate(k=ArrheniusFunction(A=74200.0, b=2.23, E=10.59, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(43) = C5H8O(63),"SimpleRate(k=ArrheniusFunction(A=15764300000000.0, b=-0.222, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(31) = C5H7O(154),"SimpleRate(k=ArrheniusFunction(A=136000.0, b=1.92, E=7.897, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(154) = C5H7O(76),"SimpleRate(k=ArrheniusFunction(A=791180.1, b=2.193, E=37.494, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(154) = C5H7O(26),"SimpleRate(k=ArrheniusFunction(A=94700000.0, b=0.85, E=2.157, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(22) = C5H7O(5),"SimpleRate(k=ArrheniusFunction(A=2960.0, b=2.11, E=20.1, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(22) = C5H8O(60),"SimpleRate(k=ArrheniusFunction(A=15764300000000.0, b=-0.222, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(5) = C5H7O(23),"SimpleRate(k=ArrheniusFunction(A=210713100.0, b=0.89, E=63.59, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(13) = C5H7O(23),"SimpleRate(k=ArrheniusFunction(A=1524876000.0, b=1.217, E=38.856, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H6O(25) = C5H7O(23),"SimpleRate(k=ArrheniusFunction(A=6390000.0, b=2.09, E=6.1, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(35) = C5H7O(23),"SimpleRate(k=ArrheniusFunction(A=8050000000.0, b=0.86, E=33.4, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(23) = C5H8O(62),"SimpleRate(k=ArrheniusFunction(A=15764300000000.0, b=-0.222, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(23) = C5H8O(60),"SimpleRate(k=ArrheniusFunction(A=15764300000000.0, b=-0.222, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(34) = C5H7O(23),"SimpleRate(k=ArrheniusFunction(A=3797722000.0, b=0.97, E=36.075, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(32) = C5H7O(23),"SimpleRate(k=ArrheniusFunction(A=270522600.0, b=1.416, E=35.406, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(23) = C5H7O(22),"SimpleRate(k=ArrheniusFunction(A=56200000.0, b=1.72, E=44.3, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H6O(39) = C5H7O(11),"SimpleRate(k=ArrheniusFunction(A=744000000.0, b=1.477, E=1.61, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(44) = HO2(45) + C5H6O(39),"SimpleRate(k=ArrheniusFunction(A=3300000000.0, b=1.01, E=29.6, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7O(30) = S(142),"SimpleRate(k=ArrheniusFunction(A=2962760000000.0, b=-0.119, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(33) = C5H7O(13),"SimpleRate(k=ArrheniusFunction(A=2411500000.0, b=1.003, E=33.933, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(33) = C5H7O(35),"SimpleRate(k=ArrheniusFunction(A=123100000000.0, b=0.765, E=55.941, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(33) = C5H8O(62),"SimpleRate(k=ArrheniusFunction(A=1953380000000.0, b=0.347, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(34) = C5H7O(33),"SimpleRate(k=ArrheniusFunction(A=39600000000.0, b=0.83, E=61.6, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(33) = C5H7O(32),"SimpleRate(k=ArrheniusFunction(A=3320000000.0, b=0.99, E=33.8, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(33) = C5H7O(23),"SimpleRate(k=ArrheniusFunction(A=36770000000.0, b=0.839, E=43.638, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(1) = C5H8O(59),"SimpleRate(k=ArrheniusFunction(A=1953380000000.0, b=0.347, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(2) = C5H8O(59),"SimpleRate(k=ArrheniusFunction(A=1953380000000.0, b=0.347, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(3) = C5H8O(59),"SimpleRate(k=ArrheniusFunction(A=15764300000000.0, b=-0.222, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7O(35) = S(148),"SimpleRate(k=ArrheniusFunction(A=14081700000000.0, b=-0.087, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7O(135) = S(168),"SimpleRate(k=ArrheniusFunction(A=7574160000000.0, b=-0.129, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(30) = C5H7O(141),"SimpleRate(k=ArrheniusFunction(A=484627.7, b=1.705, E=21.325, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(141) = C5H8O(143),"SimpleRate(k=ArrheniusFunction(A=9.10287e+19, b=-2.744, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(19) = C5H7O(141),"SimpleRate(k=ArrheniusFunction(A=25000.0, b=2.28, E=28.5, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(30) = C5H7O(138),"SimpleRate(k=ArrheniusFunction(A=1720000.0, b=1.99, E=27.2, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(138) = C5H8O(143),"SimpleRate(k=ArrheniusFunction(A=18033200000000.0, b=0.128, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(141) = C5H7O(138),"SimpleRate(k=ArrheniusFunction(A=961179100.0, b=0.593, E=75.727, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C2H4(89) + C3H3O(137) = C5H7O(30),"SimpleRate(k=ArrheniusFunction(A=28600.0, b=2.41, E=1.8, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H6O(136) = C5H7O(30),"SimpleRate(k=ArrheniusFunction(A=162000000.0, b=1.64, E=2.4, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H6O(136) = C5H7O(76),"SimpleRate(k=ArrheniusFunction(A=7824176.0, b=1.936, E=3.04, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(142) = HO2(45) + C5H6O(136),"SimpleRate(k=ArrheniusFunction(A=191634800000.0, b=0.573, E=33.31, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H6O(136) = C5H7O(138),"SimpleRate(k=ArrheniusFunction(A=231000000.0, b=1.64, E=-0.47, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C2H4(89) + C3H3O(90) = C5H7O(7),"SimpleRate(k=ArrheniusFunction(A=3679.209, b=2.446, E=9.769, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C2H4(89) + C3H3O(90) = C5H7O(6),"SimpleRate(k=ArrheniusFunction(A=1350.0, b=2.7, E=21.296, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(11) = C5H7O(42),"SimpleRate(k=ArrheniusFunction(A=6820000000.0, b=0.73, E=30.5, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(30) = C5H7O(42),"SimpleRate(k=ArrheniusFunction(A=141000000000.0, b=0.2, E=47.624, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(42) = C5H8O(63),"SimpleRate(k=ArrheniusFunction(A=24399600000000.0, b=0.071, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(43) = C5H7O(42),"SimpleRate(k=ArrheniusFunction(A=190540000000.0, b=0.853, E=47.848, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(114) = C5H7O3(28),"SimpleRate(k=ArrheniusFunction(A=0.03784917, b=3.26, E=6.425, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(28) = S(113),"SimpleRate(k=ArrheniusFunction(A=17880000.0, b=1.26, E=18.17, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(113) = S(114),"SimpleRate(k=ArrheniusFunction(A=4638464000.0, b=0.824, E=26.37, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C#C(150) + C3H5O(151) = C5H7O(31),"SimpleRate(k=ArrheniusFunction(A=13600.0, b=2.41, E=6.2, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(31) = C5H8O(156),"SimpleRate(k=ArrheniusFunction(A=8.15666e+18, b=-1.493, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(76) = C5H8O(156),"SimpleRate(k=ArrheniusFunction(A=17663700000000.0, b=0.153, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(9) + C5H7O(154) = C5H8O(156),"SimpleRate(k=ArrheniusFunction(A=9.10287e+19, b=-2.744, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
